min_points,min_dist=0.01,min_dist=0.02,min_dist=0.03,min_dist=0.04,min_dist=0.05,min_dist=0.06,min_dist=0.07,min_dist=0.08,min_dist=0.09,min_dist=0.1
16.0,33.0,34.0,19.0,11.0,11.0,8.0,8.0,8.0,6.0,6.0
17.0,27.0,28.0,17.0,11.0,10.0,7.0,7.0,7.0,5.0,5.0
18.0,23.0,25.0,15.0,11.0,10.0,7.0,7.0,7.0,5.0,5.0
19.0,23.0,25.0,15.0,11.0,9.0,8.0,7.0,6.0,5.0,5.0
20.0,20.0,24.0,13.0,11.0,9.0,7.0,6.0,6.0,5.0,5.0
21.0,21.0,21.0,14.0,9.0,6.0,6.0,5.0,5.0,5.0,5.0
22.0,21.0,19.0,15.0,10.0,8.0,6.0,5.0,5.0,5.0,5.0
23.0,23.0,22.0,18.0,13.0,12.0,9.0,8.0,8.0,8.0,8.0
